"Mailbox","Group","User"
"CN-Xiamen-Factory-Room-Conference-03","SEC-CNFAC-Xiamen-Factory-Room-Conference-03","XMREC"
"DK-BREDEBRO-C05","SEC-DKHQ IT-Bredebro-IT-Room-Conference-04","SSON"
"US-Londonderry-Sales-Training-Room-01","SEC-US-Londonderry-Sales-Training-Room-01","TRW,MMAC,CMC"
"CN-Xiamen-Factory-Room-Conference-01","SEC-CNFAC-Xiamen-Factory-Room-Conference-01","XMREC"
"CN-Xiamen-Factory-Room-Video Conference-01","SEC-CNFAC-Xiamen-Factory-Room-Video-Conference-01","XMREC"
"CN-Xiamen-Factory-Room-Conference-02","SEC-CNFAC-Xiamen-Factory-Room-Conference-02","XMREC"
"CN-Xiamen-Factory-Room-Class-01","SEC-CNFAC-Xiamen-Factory-Room-Class-01","XMREC"
"PT-S.Joao deVer-Factory-Room-Video Conference-02","SEC-PTFAC-S.Joao deVer-Factory-Room-Video Conference-02","DUMA,JMV,ECCOPT,ODA,JA"
"DK-BREDEBRO-C01","SEC-DKHQ-Bredebro-Administration--Conference-Room-01","KIH,TTO,DAT"
"PT-S.Joao deVer-Factory-Room-Conference-01","SEC-PTFAC-S.Joao deVer-Factory-Room-Conference-01","DUMA,JMV,ECCOPT,ODA,JA"
"PT-S.Joao deVer-Factory-Room-Conference-02","SEC-PTFAC-S.Joao deVer-Factory-Room-Conference-02","DUMA,JMV,ECCOPT,ODA,JA"
"ID-Tannery-Room-Conference-01","SEC-IDTAN-Room-Conference-01","MIH"
"ID-Tannery-Room-Conference-02","SEC-IDTAN-Room-Conference-02","MIH"
"ID-Tannery-Room-Conference-03","SEC-IDTAN-Room-Conference-03","MIH"
"DK-BREDEBRO-M06","SEC-DKHQ IT-Bredebro-IT-Room-Conference-03","SSON"
"DK-Aarhus-Room-01","SEC-DK-Aarhus-Room-01","MPA"
"DK-Aarhus-Room-03","SEC-DK-Aarhus-Room-03","MPA"
"DK-Aarhus-Room-02","SEC-DK-Aarhus-Room-02","MPA"
"TH-Ayutthaya-factory-Room-Meeting-02","SEC-THFAC-Ayutthaya-Room-Meeting-02","KADE"
"TH-Ayutthaya-factory-Room-Meeting-03","SEC-THFAC-Ayutthaya-Room-Meeting-03","KADE"
"TH-Ayutthaya-factory-Room-Conference-01","SEC-THFAC-Ayutthaya-Room-Conference-01","KADE"
"DK-Bredebro-Kniplingegården-Room-01","SEC-DK-Bredebro-Kniplingegården-Room-01","EMK,UJ,EH,AMK"
"AU-Sidney-Room-01","SEC-AU-Sidney-Room-01","EC"
"CA-Markham-room-showroom-01","CA-Markham-Room-Showroom-01-Access-Group","BRSL,KILA,AGA,ERM,YKIM,LIM,KRJ,MIS,PLAB,DTO,KALA,PBU"
"CA-Markham-room-boardroom-01","CA-Markham-Room-Boardroom-01-Access-Group","BRSL,YKIM,LIM,KRJ,PLAB,DTO,KALA,PBU"
"TH-Ayutthaya-factory-Room-Conference-02","SEC-THFAC-Ayutthaya-Room-Conference-02","KADE"
"TH-Ayutthaya-factory-Room-Meeting-06","SEC-THFAC-Ayutthaya-Room-Meeting-06","KADE"
"DK-BREDEBRO-M07","SEC-DKHQ-Bredebro-Room-Conference-12","LILA,KIH,LAIS,TTO,DAT,AKUZ,KAMO,TNO,JCHR,MRM,JEKR,CLC,LSHE,OV,INW,ALHA,TOTH,ALK,KRI,DEN,KEAR,JEZ,MAHE,SBO,NJ,TH,CGH,AMJ,UR,MJEN,LCJ,NKT,JEBE,MPR,DBO,LJE,HM,EMK,ASV,TIN,OS,HG,HQP,BHA,MIPE,MES,AAN,TPI,EH,IS,MO,JOL,BSA,DH,UJ,KAMW,NHE,PCAR,STEA,EXT-RSC,DNIS,SSHA,MABO,JEHA,CLK,MBW,JSHE,TUO,PEC,PSIV,RFR,HEC,TER,JEBR,CHF,KU,HGP,TRKA,TWOR,DMHO,MPAN,MUL-DKHQTreasury"
"ID-Factory-Room-Conference-09","Sec-IDFAC-Factory-Room-Conference-09","MLK,OPR1"
"US-Londonderry-Sales-Meeting-Room-01","SEC-US-Londonderry-Sales-Meeting-Room-01","TRW"
"US-Londonderry-Sales-Training-Room-02","SEC-US-Londonderry-Sales-Training-Room-02","TRW"
