"Mailbox","Group","User"
"US Careers","SEC-US-SHARED-US-Careers","PMA01,HKE,SAGU,CWR,MESC,KAN,CMC"
"Retail EAM","Retail-EAM-Access-Group","RAST,LOCA,PACH,RMOR,PLYO"
"US Retail","US-Retail-Access-Group","HKE,SAGU,CWR,MESC,KAN,SHOL,CMC"
"SAP Hotline","SEC-DK-Shared-SAP.Hotline","ASCA,GASE,SOES,KSTO,MSY,AMAI,IYU,SWLO,DEWE,FJD,STRH,NSU,PIKR,DINI,NEST,IVN,HS,GKS,HLO,SIJU,DJP,MLK,DEW,JAW,KASA,HSC,LOCH,MFR,MHAR,KKT,AJ"
"US Marketing","SEC-US-SHARED-US-Marketing","DASC,SHB,LHAU"
"dk.wms","SEC-DK-MID-DK-WMS","HFP"
"ECCO Golf ME","SEC-AE-MID-AE-GOLF","NIPE"
"Xiamen-Tannery-Recruitment","SEC-CNFAC-XIAMEN-TANNARY-RECRUITMENT","MEZ"
"Retail_hk-SGP","SEC-DK-MID-RETAIL-HK-SGP","LEZ,KIZ,SIJU"
"eccoau","SEC-AU-MID-ECCOAU","SHAR,SCW,MICS,EC"
"legal-department","SEC-DK-MID-LEGAL-DEPARTMENT","SBMA,KIMA,MMH"
"algemeen","SEC-NL-MID-Algemeen","BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"cs.nl.Old","SEC-NL-MID-CS-NL","NCA,NIHU,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"Global-Vendor-Team","SEC-DK-MID-GLOBAL-VENDOR-TEAM","CHG,SWE,KU,CC,DOCH,DBO,WYU,MHEW,TPI"
"DMARKETING","SEC-DE-MID-DMARKETING","NJU,ALBO,KRI,MHEU,COWI"
"KPI-PL","SEC-PL-MID-KPI-PL","JMAR"
"Dendverbraucher","SEC-DE-MID-Dendverbraucher","PKL,CHAB,ASBO,HOT,ISM,CHDE,LLIL,JOHK,JAHO,NIV,KRIS,ASC,NBE"
"customerservice.be.old","SEC-BE-MID-CUSTOMERSERVICE","NCA,DVAN,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"IT.Operation","SEC-DK-MID-IT.Operation","YYH,IWH,KSK,MSY,SOHA,DNIE,NAMA,IVN,SIJU,JUGR,DBPE,JER"
"Competition","SEC-DK-SHARED-Competition","TO,DOAS,PM"
"customerserord-se","SEC-DK-SHARED-customerserviceorder.se","TIE,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"customerserord-se","SEC-SE-SHARED-CUSTOMERSERVICEORDER-SE","EKO,NIV,GABL"
"invoice_elbv","SEC-NLTAN Invoice ELBV","DANV,MEBA,DIKR,EXT-BR,RIED,ABO,TIL,WAPR"
"invoice_eth","SEC-NLTAN Invoice ETH","DANV,MEBA,DIKR,EXT-BR,RIED,TIL,WAPR"
"IT.Conference","SEC-DK-MID-IT.CONFERENCE-OWNER","NAA,SAFR"
"Reklamationen.DACH","SEC-NL-SHARED-Reklama.DACH","PKL,HOT,CHDE,LLIL,JOHK,NIV,KRIS"
"cs.sg","SEC-SGSA-CustomerService","ALOR"
"newsletter.no","SEC-DK-SHARED-newsletter.no","IJF,LMA,GABL"
"newsletter.pl","SEC-DK-SHARED-newsletter.pl","RAKR"
"Shoepilot","SEC-DK-SHARED-Shoepilot","MHA"
"newsletter.ca","SEC-DK-SHARED-newsletter.ca","eccocanada"
"newsletter.dk","SEC-DK-SHARED-newsletter.dk","IJF,LMA,GABL"
"USLoyalty","SEC-US-SHARED-USLoyalty","DASC,TCOT,SHB,LHAU,PMAC,KANO,CED"
"newsletter.hk","SEC-DK-SHARED-newsletter.hk","IY"
"Twitter","SEC-DK-SHARED-TWITTER","GFJ"
"newsletter.ae","SEC-DK-SHARED-newsletter.ae","CWIL"
"newsletter.cn","SEC-DK-SHARED-newsletter.cn","MSHE,AXI,YIW"
"HQ-Sales-Controlling","SEC-DK-SHARED-Sales-Controlling","MRM,IS,JOL"
"ROYALTY","SEC-NL-SHARED-ROYALTY","BDI,CKN,HFP,JMAR,AAN"
"Events","SEC-DK-SHARED-Events","TCL,VO,PG"
"ECCOCLUB.CZ","SEC-CZ-SHARED-ECCOCLUB-CZ","RAKR"
"eccoimport","SEC-DK-SHARED-ECCOIMPORT","CABP,IME,RB"
"customerservice.cz","SEC-CZ-customerservice.cz","RAKR"
"customerservice.hu","SEC-HUSA-customerservice.hu","RAKR"
"customerservice.no","SEC-DK-SHARED-customerservice.no","TIE,CBE,MICK,EKO,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"customerservice.se","SEC-DK-SHARED-customerservice.se","MICK,EKO,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"cusserviceorder.dk","SEC-DK-SHARED-customerserviceorder.dk","TIE,JUH,BRKR,HAM,JVT,PEJ,MAAG,DIST,RVA,MAPI,EMI,NTU,NY"
"customerservice.sk","SEC-SKFAC-customerservice.sk","RAKR"
"marketing.pl","SEC-PL-MID-MARKETING-PL","RAKR"
"SG.RECRUITMENT","SEC-SG-SHARED-SG.RECRUITMENT","LEN"
"BRM.EMEA","SEC-NL-SHARED-BRM.EMEA","MASA"
"dk.TCactivation","SEC-DK-MID-dk.TCactivation","EGP"
"Marketing.SG","SEC-SG-SHARED-SG-Marketing","MCHI,LJL,MKOH,MPAN,JILI,AWO,BC,YIW,MLJ"
"Secureweb","SEC-DK-SHARED-SECUREWEB","PSH,JOB,SAFR"
"CustomerCare.EMEA","SEC-DK-SHARED-CustomerCare.EMEA","PGR,DIST,NIV"
"DISTRIBUTORS.EMEA","SEC-NL-SHARED-DISTRIBUTORS.EMEA","MABI,PGR,MSUB,CLDI,JGI,KGR,NOS"
"mediabank","SEC-DK-SHARED-Mediabank","EXT-ADR,JEM,DEWA"
"sitecore","SEC-DK-SHARED-Sitecore","EXT-ADR,JEM,DEWA"
"MASTERDATA.EMEA","SEC-NL-SHARED-MASTERDATA.EMEA","YN,ROSA,CHAG,MGK,MISJ,MAPI,NIV,KRI,ASC,ASTA,ANG,MM"
"DONATION.EMEA","SEC-NL-MID-NL-DONATION.EMEA","KVA,JMCL,NOS"
"cs.jp","SEC-JPSA-CustomerService","ERKO,SAY,YS"
"customerservice.fi","SEC-FI-MID-Customerservice.fi","TIE,PIJ,DIST"
"marketingsupport","SEC-SE-MID-SE-marketingsupport","KL,LMA,GABL"
"IT Training Admin","SEC-DK-MID-DK-IT_Training_Admin","LKR,SAFR,SSON"
"ECCO.NO","SEC-NO-SHARED-ECCO.NO","ICL"
"511","SEC-JP-SHARED-511","YUT"
"USUnemployment","SEC-US-SHARED-USUnemployment","SAGU,MESC,KAN,SHOL,CMC"
"ECCO People Slovakia","SEC-SKFAC-SHARED-SKPeople","AHOL,SIKR,LIR"
"KR.Contact","SEC-KR-SHARED-KR.Contact","WOCH,ELLE,JEJ"
"Interactive","SEC-DK-SHARED-Interactive.DK","ABD,MORH,DJE,HPO,TO,JEM,DEWA"
