"Address","Used","Since","LastUsed"
"ID-Sidoarjo-Factory-ITCustomerservice@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-IT@ecco.com","1","8/5/2015","8/5/2015"
"DK-HQ-ManagingBoard@ecco.com","2","8/5/2015","8/5/2015"
"DK-Tonder-Marketing@ecco.com","3","8/5/2015","8/5/2015"
"O_DK-Tonder-All@ecco.com","1","8/5/2015","8/5/2015"
"dk-Bredebro-ITSAPSD@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Tannery-Management@ecco.com","1","8/5/2015","8/5/2015"
"ID-Sidoarjo-Factory-ITDept@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bjerremark@ecco.com","1","8/5/2015","8/5/2015"
"THLogistic.Thai@ecco.com","1","8/5/2015","8/5/2015"
"THPDC.Thai@ecco.com","26","8/5/2015","8/5/2015"
"O_DK-Tonder-InnovationLab@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebbro-ITSapfi@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Reception@ecco.com","2","8/5/2015","8/5/2015"
"DK-BredebroHQ-Distribution@ecco.com","2","8/5/2015","8/5/2015"
"CN-Xiamen-Planning@ecco.com","1","8/5/2015","8/5/2015"
"DK-Tonder-DCVF@ecco.com","2","8/5/2015","8/5/2015"
"Group.IT@ecco.com","1","8/5/2015","8/5/2015"
"THWorkstudy.Thai@ecco.com","5","8/5/2015","8/5/2015"
"DK-Bredebro-Maintainance@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-LogiCost@ecco.com","2","8/5/2015","8/5/2015"
"ID-Sidoarjo-Factory-ITServiceDesk@ecco.com","1","8/5/2015","8/5/2015"
"THRD.Foreign@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-PDC@ecco.com","1","8/5/2015","8/5/2015"
"THSAP.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-SCM@ecco.com","2","8/5/2015","8/5/2015"
"Global-IT-Coordinators@ecco.com","1","8/5/2015","8/5/2015"
"THITDepartment.Thai@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Drift@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Conduct@ecco.com","2","8/5/2015","8/5/2015"
"DK-Courier-Forwarding@ecco.com","4","8/5/2015","8/5/2015"
"DK-Bredebro-ITnotesprog@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Forwarding@ecco.com","26","8/5/2015","8/5/2015"
"DK-Bredebro-Other@ecco.com","2","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-Sourcing@ecco.com","11","8/5/2015","8/5/2015"
"NL-Amsterdam-Sales-CustomerServiceDACH@ecco.com","16","8/5/2015","8/5/2015"
"DK-Bredebro-Quality@ecco.com","2","8/5/2015","8/5/2015"
"TH.BusinessControl@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Legal@ecco.com","4","8/5/2015","8/5/2015"
"DK-Bredebro-Logistic@ecco.com","2","8/5/2015","8/5/2015"
"DK-Tonder-CreativeDevelopment@ecco.com","2","8/5/2015","8/5/2015"
"DK-Tonder-DesignLab@ecco.com","1","8/5/2015","8/5/2015"
"ID-Sidoarjo-Factory-ITLocal@ecco.com","1","8/5/2015","8/5/2015"
"THCADTech.Thai@ecco.com","1","8/5/2015","8/5/2015"
"ID-Sidoarjo-Factory-ITSAP@ecco.com","1","8/5/2015","8/5/2015"
"DE-Hamburg-Sales-DACH-Vertrieb@ecco.com","3","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-BomDocument@ecco.com","11","8/5/2015","8/5/2015"
"TW-SISShop@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ProductDevelopment@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Laboratorie@ecco.com","2","8/5/2015","8/5/2015"
"THRD.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK-Tonder-EccoConference@ecco.com","1","8/5/2015","8/5/2015"
"THPrototypes.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-GroupCommunication@ecco.com","2","8/5/2015","8/5/2015"
"PT-S.Joao-deVer-Factory-IT@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Environment@ecco.com","2","8/5/2015","8/5/2015"
"CN-Xiamen-HR@ecco.com","1","8/5/2015","8/5/2015"
"DK.HQReception@ecco.com","1","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-Development@ecco.com","6","8/5/2015","8/5/2015"
"DK-Bredebro-HR@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Purchasing@ecco.com","2","8/5/2015","8/5/2015"
"DK-HQ-Management@ecco.com","2","8/5/2015","8/5/2015"
"THRoundPlan.Thai@ecco.com","1","8/5/2015","8/5/2015"
"TH.Retail@ecco.com","15","8/5/2015","8/5/2015"
"THRecruitment.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ITBusiness-Production@ecco.com","1","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-Golf&CasualTeamDevelopment@ecco.com","6","8/5/2015","8/5/2015"
"DK.Toender@ecco.com","1","8/5/2015","8/5/2015"
"TW-Retail-Supervisor@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Warehouse@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Technical@ecco.com","8","8/5/2015","8/5/2015"
"DK-Tonder-All@ecco.com","1","8/5/2015","8/5/2015"
"SK-Martin-Factory-IT@ecco.com","1","8/5/2015","8/5/2015"
"US-Londonderry-Sales-IT@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-Finance@ecco.com","2","8/5/2015","8/5/2015"
"THProductionPreparation.Foreign@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Workstudy@ecco.com","7","8/5/2015","8/5/2015"
"DK-Bredebro-Administration@ecco.com","2","8/5/2015","8/5/2015"
"SG-Singapore-Global-Production-All@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-LogMgr@ecco.com","2","8/5/2015","8/5/2015"
"SG-SALES-EAP@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ITSAPBW@ecco.com","1","8/5/2015","8/5/2015"
"DK-Tonder-GolfLab@ecco.com","1","8/5/2015","8/5/2015"
"DK-Tonder-InnovationLab@ecco.com","1","8/5/2015","8/5/2015"
"THConstruction.Thai@ecco.com","1","8/5/2015","8/5/2015"
"N_DK-Tonder-CreativeDevelopment@ecco.com","2","8/5/2015","8/5/2015"
"THALL.ThaiUsersECCOThailand@ecco.com","1","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-Costing@ecco.com","6","8/5/2015","8/5/2015"
"THLean.Thai@ecco.com","1","8/5/2015","8/5/2015"
"DK.Bredebro1@ecco.com","2","8/5/2015","8/5/2015"
"SG-Sales-ALL@ecco.com","1","8/5/2015","8/5/2015"
"THManagement.Thai@ecco.com","1","8/5/2015","8/5/2015"
"THProductionPreparation.Thai@ecco.com","1","8/5/2015","8/5/2015"
"TW-O&OShop@ecco.com","1","8/5/2015","8/5/2015"
"THManagement.Foreign@ecco.com","1","8/5/2015","8/5/2015"
"DK-BREDEBRO-ITSAPHR@ecco.com","1","8/5/2015","8/5/2015"
"THQualityImprovement.Thai@ecco.com","1","8/5/2015","8/5/2015"
"THBusinessControl.Thai@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-ITBusinesssolutions@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Tannery@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-EntryContol@ecco.com","2","8/5/2015","8/5/2015"
"THAccountFinance.Thai@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-ITSAPCustomerservice@ecco.com","1","8/5/2015","8/5/2015"
"O_DK-Tonder-DesignLab@ecco.com","1","8/5/2015","8/5/2015"
"THALL.ForeignUsersECCOThailand@ecco.com","1","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-PerformanceTeamDevelopment@ecco.com","7","8/5/2015","8/5/2015"
"O_DK-Tonder-CreativeDevelopment@ecco.com","2","8/5/2015","8/5/2015"
"NL-Amsterdam-Sales-RHQ@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-ProdTechDevelopment@ecco.com","2","8/5/2015","8/5/2015"
"THRetail.Thai@ecco.com","19","8/5/2015","8/5/2015"
"DK-Bredebro-ITDept@ecco.com","4","8/5/2015","8/5/2015"
"TH-Ayutthaya-Factory-SourcingandProcurement@ecco.com","7","8/5/2015","8/5/2015"
"TH.Workstudy@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ServiceDepartment@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-ITSAPPP@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-ITSapedi@ecco.com","1","8/5/2015","8/5/2015"
"DK-Bredebro-HR-Management@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-ProductionPlanning@ecco.com","2","8/5/2015","8/5/2015"
"TH.RMWarehouse@ecco.com","33","8/5/2015","8/5/2015"
"DK-BredebroFAC-Mould@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-Pilot@ecco.com","2","8/5/2015","8/5/2015"
"ASIA-IT-sap-competencecentre@ecco.com","1","8/5/2015","8/5/2015"
"CN-Xiamen-Quality@ecco.com","3","8/5/2015","8/5/2015"
"THVDC.Thai@ecco.com","1","8/5/2015","8/5/2015"
"THPurchase.Thai@ecco.com","1","8/5/2015","8/5/2015"
"NL-Amsterdam-Sales-EuropeWest@ecco.com","2","8/5/2015","8/5/2015"
"DK-Bredebro-HR-Denmark@ecco.com","2","8/5/2015","8/5/2015"
"TH.PDC@ecco.com","16","8/5/2015","8/5/2015"
"CN-Xiamen-PRODSUPP@ecco.com","4","8/5/2015","8/5/2015"
"Global-IT-Operations-Monitoring@ecco.com","2","8/5/2015","8/5/2015"
"DK-Tonder-DC@ecco.com","2","8/5/2015","8/5/2015"
"THCADTech.Foreign@ecco.com","1","8/5/2015","8/5/2015"
