"name","OperatingSystem","lastlogondate","PasswordLastSet","ipv4address","primarygroup","Enabled","isDeleted","LockedOut"
"DK2239","Windows XP Professional","4/29/2008 12:20:29 PM","4/4/2008 9:13:27 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2256","Windows XP Professional","5/18/2009 9:43:47 AM","5/9/2009 9:05:28 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"CN3026","Windows XP Professional","9/15/2010 4:48:22 AM","7/26/2010 3:25:33 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2264","Windows XP Professional","10/10/2008 9:50:09 AM","10/10/2008 9:56:59 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2346","Windows XP Professional","11/10/2008 7:58:56 AM","11/10/2008 8:13:23 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"CN1090","Windows XP Professional","12/22/2008 1:01:18 AM","11/28/2008 8:51:54 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK1845","Windows XP Professional","6/4/2007 10:05:25 AM","6/4/2007 10:27:49 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"CN3001","Windows XP Professional","7/1/2008 9:29:26 AM","7/1/2008 9:29:22 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"NL2023","Windows XP Professional","12/3/2007 3:24:02 PM","11/12/2007 3:54:19 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"HK1058","Windows XP Professional","10/15/2010 11:43:46 AM","10/15/2010 11:43:47 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2365","Windows XP Professional","4/16/2010 8:40:28 AM","4/7/2010 1:03:23 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"US219","Windows XP Professional","9/15/2008 10:17:38 PM","8/18/2008 2:03:29 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2335","Windows XP Professional","4/26/2010 8:44:08 AM","4/22/2010 7:47:06 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2612","Windows 7 Enterprise","9/16/2010 10:06:34 AM","9/16/2010 10:06:37 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"HK1060","Windows XP Professional","12/18/2008 3:06:13 AM","12/18/2008 11:08:38 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"PT1012","Windows XP Professional","4/11/2011 9:04:03 AM","4/6/2011 12:03:38 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"SKLEAN3","Windows XP Professional","12/16/2008 12:57:16 AM","12/16/2008 12:57:16 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"CA2128","Windows XP Professional","2/2/2009 7:27:26 PM","2/3/2009 6:59:38 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"PL2113","Windows XP Professional","7/8/2010 8:17:12 AM","6/14/2010 8:26:55 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"TH1372","Windows XP Professional","10/15/2007 1:59:34 AM","10/15/2007 1:59:33 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"TH1318","Windows XP Professional","6/9/2009 8:25:38 AM","5/19/2009 6:22:56 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2304","Windows XP Professional","12/16/2008 2:46:52 PM","11/18/2008 7:41:45 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"HUNI01","Windows XP Professional","1/26/2009 9:04:57 PM","1/26/2009 9:04:59 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"ID3055","Windows XP Professional","9/27/2007 6:09:54 AM","9/10/2007 11:03:36 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"US114","Windows XP Professional","9/19/2008 6:25:08 PM","9/19/2008 6:25:08 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"TH5030","Windows XP Professional","5/23/2009 10:20:13 AM","5/18/2009 5:48:37 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"HK1046","Windows XP Professional","9/5/2008 6:58:57 AM","8/18/2008 3:04:41 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"USMYRTLE02","Windows XP Professional","9/26/2007 2:39:58 PM","9/15/2007 3:59:29 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"CA2113","Windows XP Professional","10/1/2007 4:03:41 PM","9/27/2007 1:46:27 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DK2151","Windows XP Professional","10/12/2007 10:33:35 AM","10/12/2007 10:33:36 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"TH5058","Windows XP Professional","6/1/2012 8:33:17 AM","6/1/2012 8:33:16 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2914","Windows 7 Enterprise","6/29/2012 8:02:21 AM","6/7/2012 8:59:49 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"CA2112","Windows XP Professional","10/29/2007 6:31:57 PM","9/30/2007 4:31:02 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"US300","Windows XP Professional","5/23/2011 6:37:40 PM","5/13/2011 5:50:42 PM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
"DK2276","Windows XP Professional","4/12/2016 8:07:50 AM","3/23/2016 8:28:51 AM","10.129.5.47","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"TW1004","Windows XP Professional","4/29/2010 3:27:07 AM","4/26/2010 3:07:55 AM",,"CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","False",,"False"
