"name","OperatingSystem","lastlogondate","PasswordLastSet","ipv4address","primarygroup","Enabled","isDeleted","LockedOut"
"NOSAMP01","Windows Server 2003","4/11/2016 5:47:08 PM","4/7/2016 8:13:06 AM","10.196.2.10","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQDC02","Windows Server 2012 R2 Standard","4/10/2016 3:55:18 AM","3/21/2016 12:42:59 PM","10.129.1.13","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"AESAMP02","Windows Server 2008 R2 Standard","4/13/2016 5:11:53 AM","4/5/2016 12:20:54 PM","10.50.1.5","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"IDFACDC02","Windows Server 2012 R2 Standard","4/7/2016 5:03:39 PM","3/16/2016 4:07:00 AM","10.18.1.20","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"PTFACDC02","Windows Server 2008 R2 Standard","4/9/2016 12:58:28 AM","4/4/2016 1:36:30 PM","10.9.1.61","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"USSADC02","Windows Server 2008 R2 Standard","4/11/2016 6:17:15 PM","4/7/2016 3:32:45 AM","10.64.1.2","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"SGSAMP01","Windows Server 2008 R2 Standard","4/12/2016 5:59:04 AM","4/14/2016 9:32:01 PM","10.20.1.16","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"CASADC01","Windows Server 2008 R2 Standard","4/11/2016 1:26:23 AM","3/21/2016 3:40:29 AM","10.71.1.12","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"FISADC02","Windows Server 2008 R2 Standard","4/7/2016 10:37:51 PM","3/30/2016 6:16:31 AM","10.196.5.16","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DESADC01","Windows Server 2008 R2 Standard","4/11/2016 2:01:01 AM","3/22/2016 10:07:41 AM","10.55.1.11","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"NLSAMP02","Windows Server 2008 R2 Standard","4/6/2016 2:27:17 PM","3/28/2016 4:36:08 AM","10.90.1.1","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"JPSAMP01","Windows Server 2008 R2 Standard","4/12/2016 4:02:52 AM","4/13/2016 7:03:10 AM","10.72.1.1","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"AUSAMP02","Windows Server 2008 R2 Standard","4/10/2016 2:10:24 PM","3/25/2016 9:50:59 AM","10.77.1.5","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"TWSAMP01","Windows Server 2008 R2 Standard","4/8/2016 3:03:50 AM","3/21/2016 12:16:13 PM","10.84.1.3","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQRDSGW02","Windows Server 2012 R2 Standard","4/9/2016 10:07:31 AM","4/11/2016 7:01:03 PM","10.129.12.118","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"KRSADC01","Windows Server 2012 Standard","4/6/2016 9:41:52 PM","3/25/2016 6:18:36 AM","10.25.1.11","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQDC01","Windows Server 2012 R2 Standard","4/8/2016 5:29:29 AM","3/28/2016 11:06:24 PM","10.129.1.12","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"CHSADC01","Windows Server 2012 R2 Standard","4/13/2016 3:07:59 AM","3/28/2016 8:29:37 PM","10.74.1.12","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"CNTECDC01","Windows Server 2012 R2 Standard","4/12/2016 11:09:55 AM","3/23/2016 5:59:37 AM","10.78.1.12","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"SKFACDC02","Windows Server 2012 R2 Standard","4/15/2016 6:12:05 AM","3/23/2016 8:21:46 PM","10.12.1.63","CN=Domain Controllers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQBACKUP06","Windows Server 2012 R2 Standard","4/8/2016 2:00:57 PM","3/20/2016 1:26:47 PM","10.129.12.161","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"JPSABACKUP01","Windows Server 2012 R2 Standard","4/10/2016 7:00:06 AM","3/26/2016 10:59:46 PM","10.72.1.6","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQNPS01","Windows Server 2012 Datacenter","4/6/2016 8:31:46 AM","3/18/2016 10:14:53 AM","10.129.1.84","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQNPS02","Windows Server 2012 Datacenter","4/8/2016 3:08:25 AM","4/5/2016 1:13:50 AM","10.129.1.85","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQRDSGW01","Windows Server 2008 R2 Standard","4/13/2016 10:06:56 AM","3/24/2016 4:12:07 AM","10.129.12.104","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQMANRDS01N02","Windows Server 2012 R2 Standard","4/14/2016 9:53:59 PM","4/12/2016 1:13:35 PM","10.129.12.116","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQBPCRDS01","Windows Server 2008 R2 Standard","4/5/2016 7:15:20 PM","4/6/2016 6:47:06 PM","10.129.12.49","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQMANRDS01N01","Windows Server 2012 R2 Standard","4/14/2016 5:40:11 AM","4/12/2016 1:06:28 PM","10.129.12.115","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQUAG01N02","Windows Server 2008 R2 Standard","4/8/2016 1:07:50 PM","4/8/2016 2:08:35 AM","10.129.1.106","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQTXTRDS01","Windows Server 2008 R2 Standard","4/11/2016 9:34:33 PM","3/18/2016 5:52:30 AM","10.129.12.33","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQRDSCB01","Windows Server 2008 R2 Standard","4/7/2016 10:08:01 AM","3/21/2016 12:36:18 PM","10.129.1.56","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQUAG01N01","Windows Server 2008 R2 Standard","4/14/2016 11:18:29 PM","3/30/2016 1:20:22 AM","10.129.1.103","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQSCOM03","Windows Server 2008 R2 Standard","4/6/2016 3:25:27 AM","3/29/2016 9:50:12 PM","10.129.12.60","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQEXTRDS01N02","Windows Server 2012 R2 Standard","4/11/2016 7:04:01 PM","4/8/2016 3:51:41 AM","10.129.12.44","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQSCOMDWSQL01","Windows Server 2008 R2 Standard","4/10/2016 11:00:00 PM","3/27/2016 6:12:01 PM","10.129.12.63","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQEXTRDS01N01","Windows Server 2012 R2 Standard","4/13/2016 7:41:52 PM","4/10/2016 10:07:38 AM","10.129.12.43","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQTXTRDS02","Windows Server 2008 R2 Standard","4/7/2016 11:00:12 PM","4/6/2016 1:04:32 AM","10.129.12.34","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQRDSCB02N01","Windows Server 2012 R2 Standard","4/9/2016 7:29:54 PM","4/12/2016 10:52:41 PM","10.129.12.138","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQSCOMDBSQL01","Windows Server 2008 R2 Standard","4/11/2016 7:09:02 PM","3/22/2016 4:59:03 AM","10.129.12.62","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQTXTRDSTST01","Windows Server 2008 R2 Standard","4/13/2016 9:10:39 PM","4/8/2016 4:44:10 PM","10.129.1.137","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQRDS03N02","Windows Server 2012 R2 Standard","4/10/2016 6:35:45 PM","4/13/2016 4:52:47 AM","10.129.12.42","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
"DKHQAUTH03","Windows Server 2008 R2 Standard","4/5/2016 11:22:48 AM","3/23/2016 6:13:10 PM","10.129.1.86","CN=Domain Computers,CN=Users,DC=prd,DC=eccocorp,DC=net","True",,"False"
